trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.002, 'e': 0.8154623711872927}",20,0,-4.9852941930935835,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
103,False,"{'a': 0.002, 'e': 0.8138330762829207}",25,1,-25.6485850627116,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
104,False,"{'a': 0.002, 'e': 0.812207036711939}",20,11,-92.93219768677604,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 2}",1
105,False,"{'a': 0.002, 'e': 0.8105842459701871}",25,0,-242.4176071444072,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 4}",0
106,False,"{'a': 0.002, 'e': 0.8089646975664998}",20,5,-50.053900061922846,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
107,False,"{'a': 0.002, 'e': 0.8073483850226815}",25,0,-143.98983141053512,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
108,False,"{'a': 0.002, 'e': 0.8057353018734796}",35,13,-71.71772582563587,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 0}",1
109,False,"{'a': 0.002, 'e': 0.8041254416665596}",20,0,-139.08328484300907,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
110,False,"{'a': 0.002, 'e': 0.8025187979624785}",20,0,-68.40971040902295,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.002, 'e': 0.8009153643346592}",20,0,-60.03467991758082,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
112,False,"{'a': 0.002, 'e': 0.7993151343693651}",20,3,-71.95553753227627,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 1}",1
113,False,"{'a': 0.002, 'e': 0.7977181016656743}",25,15,19.30510863216118,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.002, 'e': 0.7961242598354538}",20,0,-112.34416506653402,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
115,False,"{'a': 0.002, 'e': 0.794533602503334}",20,0,-40.891425904719604,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
116,False,"{'a': 0.002, 'e': 0.7929461233066837}",20,0,-44.210226152501626,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
117,False,"{'a': 0.002, 'e': 0.7913618158955839}",25,0,-110.32363972101015,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
118,False,"{'a': 0.002, 'e': 0.7897806739328027}",20,0,-174.51114908041845,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
119,False,"{'a': 0.002, 'e': 0.7882026910937704}",25,0,-35.72054113014883,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
120,False,"{'a': 0.002, 'e': 0.7866278610665535}",20,0,-66.61106067718966,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
121,False,"{'a': 0.002, 'e': 0.7850561775518295}",20,0,-61.50981495575945,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
122,False,"{'a': 0.002, 'e': 0.7834876342628625}",20,0,-23.109334211633463,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.002, 'e': 0.7819222249254772}",35,15,-57.587768565952075,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
124,False,"{'a': 0.002, 'e': 0.7803599432780343}",30,0,-95.27177617736832,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
125,False,"{'a': 0.002, 'e': 0.7788007830714049}",35,0,-142.52769919061942,"{0: 23, 1: 5, 2: 3, 3: 2, 4: 2}",0
126,False,"{'a': 0.002, 'e': 0.7772447380689461}",20,0,-74.39358370240153,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
127,False,"{'a': 0.002, 'e': 0.775691802046476}",30,0,-85.70957294299905,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
128,False,"{'a': 0.002, 'e': 0.7741419687922484}",20,0,-113.95467281083572,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
129,False,"{'a': 0.002, 'e': 0.772595232106928}",20,0,-11.796756026795387,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.002, 'e': 0.7710515858035663}",25,0,-196.34020654274096,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
131,False,"{'a': 0.002, 'e': 0.7695110237075758}",25,0,-113.81897814587667,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
132,False,"{'a': 0.002, 'e': 0.7679735396567061}",25,0,-157.79935495782638,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
133,False,"{'a': 0.002, 'e': 0.7664391275010192}",30,0,-234.79187971304216,"{0: 13, 1: 6, 2: 6, 3: 2, 4: 3}",0
